Suburb,Address,Price,SellerG,Lattitude,Longtitude
Abbotsford,85 Turner St,1480000,Biggin,-37.7996,144.9984
Abbotsford,25 Bloomburg St,1035000,Biggin,-37.8079,144.9934
Abbotsford,5 Charles St,1465000,Biggin,-37.8093,144.9944
Abbotsford,40 Federation La,850000,Biggin,-37.7969,144.9969
Abbotsford,55a Park St,1600000,Nelson,-37.8072,144.9941
Abbotsford,129 Charles St,941000,Jellis,-37.8041,144.9953
Abbotsford,124 Yarra St,1876000,Nelson,-37.8024,144.9993
Abbotsford,98 Charles St,1636000,Nelson,-37.806,144.9954
Abbotsford,217 Langridge St,1000000,Jellis,,
Abbotsford,18a Mollison St,745000,Jellis,,
Abbotsford,6/241 Nicholson St,300000,Biggin,-37.8008,144.9973
Abbotsford,10 Valiant St,1097000,Biggin,-37.801,144.9989
Abbotsford,403/609 Victoria St,542000,Dingle,,
Abbotsford,25/84 Trenerry Cr,760000,Biggin,,
Abbotsford,106/119 Turner St,481000,Purplebricks,,
Abbotsford,411/8 Grosvenor St,700000,Jellis,-37.811,145.0067
Abbotsford,40 Nicholson St,1350000,Nelson,-37.8085,144.9964
Abbotsford,123/56 Nicholson St,750000,Biggin,-37.8078,144.9965
Abbotsford,22 Park St,1985000,Biggin,-37.8084,144.9942
Abbotsford,13/84 Trenerry Cr,500000,Biggin,,
Abbotsford,45 William St,1172500,Biggin,-37.8084,144.9973
Abbotsford,7/20 Abbotsford St,441000,Greg,-37.8016,144.9988
Abbotsford,16 William St,1310000,Jellis,-37.809,144.9976
Abbotsford,42 Henry St,1200000,Jellis,-37.8056,144.993
Abbotsford,250 Langridge St,847000,Jellis,,
Abbotsford,78 Yarra St,1176500,LITTLE,-37.8021,144.9965
Abbotsford,196 Nicholson St,955000,Collins,-37.8022,144.9975
Abbotsford,42 Valiant St,890000,Biggin,-37.8011,145.0004
Abbotsford,3/72 Charles St,1330000,Kay,-37.8073,144.9952
Abbotsford,13/11 Nicholson St,900000,Beller,-37.8093,144.9959
Abbotsford,138/56 Nicholson St,1090000,Jellis,-37.8078,144.9965
Abbotsford,6/219 Nicholson St,500000,Collins,-37.8015,144.9972
Abbotsford,52a William St,1100000,Biggin,-37.8079,144.9977
Abbotsford,49 Park St,1315000,Marshall,-37.808,144.994
Abbotsford,65/80 Trenerry Cr,480000,Biggin,,
Abbotsford,119/52 Nicholson St,423500,hockingstuart,,
Abbotsford,5/20 Abbotsford St,426000,Greg,-37.8016,144.9988
Abbotsford,48 Abbotsford St,1447500,Nelson,-37.8017,145.0001
Abbotsford,116/56 Nicholson St,457000,Jellis,-37.8078,144.9965
Abbotsford,159 Park St,1135000,Nelson,-37.8005,144.9952
Abbotsford,49/84 Trenerry Cr,700000,Biggin,,
Abbotsford,31 Turner St,1542000,Collins,-37.7994,144.9965
Abbotsford,17/1 Abbot St,962000,Jellis,-37.7972,144.9969
Abbotsford,166 Gipps St,1290000,Biggin,-37.805,144.9943
